Gene,Essential,Essentiality Standard Deviation,Essentiality P-value,Essentiality Classification,Mean(Log10(Fluconazole/DMSO frequency)) in Gene Body,P value of Mean Fold Change in Gene Body Compared to Intergenic Inserts,Mean(Log10(Fluconazole/DMSO frequency)) in 5' 300 bases,P value of Mean Fold Change in 5' 300 bases Compared to Intergenic Inserts,Insert sites in Gene Body,Insert sites in 300 bases to 5' of ATG,In Madhani Deletion Collection,Human Ortholog
CNAG_00402,0,0,0,NESS,-0.026275722,0.571691451,0.175638175,0.405044177,60,6,TRUE,FALSE
CNAG_00404,0.000166,0.000171282,0,NESS,0.13759544,0.051067739,0.525598989,0.001814369,20,5,TRUE,FALSE
CNAG_00405,0.958092,0.016430685,3.76E-145,ESS,NA,NA,0.525598989,0.001814369,0,5,TRUE,FALSE
CNAG_00406,5.60E-05,7.83E-05,0,NESS,-0.066830051,0.604539385,0.178479275,0.005370761,25,34,TRUE,FALSE
CNAG_00407,0,0,0,NESS,0.102618572,0.037006029,0.198245777,0.195620585,45,5,TRUE,FALSE
CNAG_00409,1.80E-05,4.79E-05,0,NESS,0.055042026,0.419457304,-0.036464862,0.939391115,20,3,TRUE,FALSE
CNAG_00410,0.000811,0.0005031,1.05E-298,NESS,-0.594884795,0.009381052,-0.025276694,0.822994576,5,28,TRUE,FALSE
CNAG_00411,0.021235,0.007429104,3.74E-181,NESS,-0.305813645,NA,-0.025276694,0.822994576,1,28,TRUE,FALSE
CNAG_00412,2.10E-05,4.56E-05,0,NESS,0.034582847,0.374985525,0.000569543,0.995811483,29,22,TRUE,FALSE
CNAG_00414,0,0,0,NESS,0.041274115,0.424829023,-0.06786416,0.538460088,62,48,TRUE,FALSE
CNAG_00416,0,0,0,NESS,-0.025456713,0.907236608,-0.048023645,0.908686142,89,19,TRUE,FALSE
CNAG_00422,0.000911,0.000624564,2.14E-289,NESS,-0.069802137,0.481586549,-0.524042369,0.00045941,42,8,TRUE,FALSE
CNAG_00438,1.10E-05,3.45E-05,0,NESS,0.121895809,0.080799424,0.086329159,0.02630912,19,49,TRUE,FALSE
CNAG_00443,4.00E-06,1.97E-05,0,NESS,-0.094361172,0.148045267,0.106763566,0.074644711,30,20,TRUE,FALSE
CNAG_00444,0.000482,0.000326716,2.71196289088039e-317,NESS,-0.017562486,0.801170662,-0.131383611,0.047022571,8,44,TRUE,FALSE
CNAG_00445,0,0,0,NESS,-0.249960006,0.000905301,-0.312616045,5.34E-06,51,27,TRUE,FALSE
CNAG_00446,0,0,0,NESS,-0.108296865,0.289994129,0.019638636,0.67878891,30,6,TRUE,FALSE
CNAG_00453,2.10E-05,5.18E-05,0,NESS,0.031038101,0.898183708,0.033788016,0.414560085,22,68,TRUE,FALSE
CNAG_00454,7.00E-06,2.56E-05,0,NESS,-0.189631278,0.102333582,0.018401237,0.701641912,18,6,TRUE,FALSE
CNAG_00456,0,0,0,NESS,0.047338867,0.120231417,-0.056896015,0.448742538,40,21,TRUE,FALSE
CNAG_00458,0.699827,0.053875335,7.09E-60,ESS,0.745529391,0.00755005,1.849893565,0.002703546,3,3,TRUE,FALSE
CNAG_00460,0.000271,0.000291736,3.55727265005698e-322,NESS,-0.690900146,4.07E-10,-0.004432286,0.591580669,23,89,TRUE,FALSE
CNAG_00463,0.000982,0.000946272,1.58E-271,NESS,0.08494763,0.076399329,-0.141016621,0.283881928,39,9,TRUE,FALSE
CNAG_00465,0.012997,0.006394749,2.48E-188,NESS,-0.494073694,0.015081152,-0.036233619,0.816862206,5,51,TRUE,FALSE
CNAG_00468,0.00024,0.000247002,0,NESS,-0.419902409,1.63E-05,-0.076346997,0.356209156,18,38,TRUE,FALSE
CNAG_00472,0.849032,0.044017783,2.14E-91,ESS,0.184056422,NA,0.053366572,0.084285528,1,57,TRUE,FALSE
CNAG_00474,0.00036,0.000328141,4.07319773633282e-317,NESS,-0.004891418,0.874839237,-0.099261184,0.19950234,30,37,TRUE,FALSE
CNAG_00475,0.000103,0.000160463,0,NESS,0.005862975,0.781938823,0.101915799,0.230572396,42,11,TRUE,FALSE
CNAG_00480,1.40E-05,3.77E-05,0,NESS,-0.112578456,0.156152763,-0.164574404,0.08623581,33,16,TRUE,FALSE
CNAG_00481,0,0,0,NESS,-0.045577284,0.818355285,-0.135178456,0.216497321,62,15,TRUE,FALSE
CNAG_00485,0,0,0,NESS,0.016067582,0.347301526,-0.177579561,0.000282604,37,58,TRUE,FALSE
CNAG_00487,1.00E-06,1.00E-05,0,NESS,-0.011447398,0.734064006,-0.029747964,0.693231137,37,9,TRUE,FALSE
CNAG_00488,0,0,0,NESS,-0.133405512,0.104564254,0.160201045,0.002498924,46,36,TRUE,FALSE
CNAG_00492,0,0,0,NESS,-0.041467674,0.682948927,-0.117056816,0.187628152,59,13,TRUE,FALSE
CNAG_00496,0.000567,0.000363778,1.14948296684599e-312,NESS,-0.04279928,0.781810066,0.179974625,2.08E-05,8,48,TRUE,FALSE
