sample,strain,name,dataset,run,source,lineage,vni_subdivision
SRS404488,Bt23,Cryptococcus_neoformans var. grubii_Bt23,Desjardins,SRR798765,Clinical,VNI,VNIc
SRS404484,Bt98,Cryptococcus_neoformans_Bt98,Desjardins,,Clinical,VNBII,
SRS404485,Bt130,Cryptococcus_neoformans var. grubii_Bt130,Desjardins,SRR797760,Clinical,VNI,VNIc
SRS404486,Bt101,Cryptococcus_neoformans var. grubii_Bt101,Desjardins,SRR798186,Clinical,VNI,VNIc
SRS404489,Bt203,Cryptococcus_neoformans var. grubii_Bt203,Desjardins,SRR797764,Clinical,VNI,VNIc
SRS404490,Bt3,Cryptococcus_neoformans var. grubii_Bt3,Desjardins,SRR797765,Clinical,VNI,VNIa-93
SRS404491,Bt155,Cryptococcus_neoformans var. grubii_Bt155,Desjardins,SRR797766,Clinical,VNI,VNIc
SRS404492,MW-RSA4119,Cryptococcus_neoformans var. grubii_MW-RSA4119,Desjardins,,Clinical,VNII,
SRS404493,Bt2,Cryptococcus_neoformans_Bt2,Desjardins,SRR797768,Clinical,VNI,VNIc
SRS404494,Tu241-1,Cryptococcus_neoformans var. grubii_Tu241-1,Desjardins,SRR797778,Environment,VNI,VNIa-outlier
SRS404495,Bt75,Cryptococcus_neoformans var. grubii_Bt75,Desjardins,,Clinical,VNBII,
SRS404496,A3-1-1,Cryptococcus_neoformans var. grubii_29593,Desjardins,SRR798211,Environment,VNI,VNIb
SRS404498,LP-RSA116,Cryptococcus_neoformans var. grubii_LP-RSA116,Desjardins,SRR797791,Clinical,VNI,VNIc
SRS404499,Bt25,Cryptococcus_neoformans var. grubii_Bt25,Desjardins,,Clinical,VNBII,
SRS404501,Bt68,Cryptococcus_neoformans_Bt68,Desjardins,SRR797782,Clinical,VNI,VNIc
SRS404503,Bt107,Cryptococcus_neoformans var. grubii_Bt107,Desjardins,SRR797785,Clinical,VNI,VNIa-32
SRS404505,LP-RSA1343,Cryptococcus_neoformans var. grubii_LP-RSA1343,Desjardins,SRR797789,Clinical,VNI,VNIc
SRS404506,Bt102,Cryptococcus_neoformans var. grubii_Bt102,Desjardins,,Clinical,VNBI,
SRS404507,Bt150,Cryptococcus_neoformans var. grubii_Bt150,Desjardins,SRR797793,Clinical,VNI,VNIc
SRS404508,Bt123,Cryptococcus_neoformans var. grubii_Bt123,Desjardins,SRR797794,Clinical,VNI,VNIc
SRS404511,Bt19,Cryptococcus_neoformans_Bt19,Desjardins,SRR797799,Clinical,VNI,VNIc
SRS404512,Bt160,Cryptococcus_neoformans var. grubii_Bt160,Desjardins,SRR797800,Clinical,VNI,VNIc
SRS404513,MW-RSA722,Cryptococcus_neoformans_MW-RSA722,Desjardins,SRR798677,Clinical,VNI,VNIb
SRS404514,Bt7,Cryptococcus_neoformans_Bt7,Desjardins,,Clinical,VNBI,
SRS404516,Bt49,Cryptococcus_neoformans var. grubii_Bt49,Desjardins,SRR797808,Clinical,VNI,VNIb
SRS404517,Bt100,Cryptococcus_neoformans var. grubii_Bt100,Desjardins,SRR798270,Clinical,VNI,VNIc
SRS404518,Bt134,Cryptococcus_neoformans var. grubii_Bt134,Desjardins,SRR797810,Clinical,VNI,VNIa-5
SRS404735,Bt22,Cryptococcus_neoformans var. grubii_Bt22,Desjardins,,Clinical,VNBI,
SRS404739,Bt40,Cryptococcus_neoformans var. grubii_Bt40,Desjardins,,Clinical,VNBII,
SRS404740,LP-RSA2296,Cryptococcus_neoformans var. grubii_LP-RSA2296,Desjardins,SRR798138,Clinical,VNI,VNIa-outlier
