sample,run,file1,file2,file_unpaired
SRS404484,SRR797759,SRR797759_1.fastq.gz,SRR797759_2.fastq.gz,
SRS404484,SRR798141,SRR798141_1.fastq.gz,SRR798141_2.fastq.gz,
SRS404484,SRR798581,SRR798581_1.fastq.gz,SRR798581_2.fastq.gz,
SRS404484,SRR798906,SRR798906_1.fastq.gz,SRR798906_2.fastq.gz,
SRS404484,SRR798178,SRR798178_1.fastq.gz,SRR798178_2.fastq.gz,
SRS404484,SRR822917,SRR822917_1.fastq.gz,SRR822917_2.fastq.gz,
SRS404485,SRR798912,SRR798912_1.fastq.gz,SRR798912_2.fastq.gz,
SRS404485,SRR797760,SRR797760_1.fastq.gz,SRR797760_2.fastq.gz,
SRS404485,SRR798821,SRR798821_1.fastq.gz,SRR798821_2.fastq.gz,
SRS404486,SRR798702,SRR798702_1.fastq.gz,SRR798702_2.fastq.gz,
SRS404486,SRR798195,SRR798195_1.fastq.gz,SRR798195_2.fastq.gz,
SRS404486,SRR798660,SRR798660_1.fastq.gz,SRR798660_2.fastq.gz,
SRS404486,SRR798186,SRR798186_1.fastq.gz,SRR798186_2.fastq.gz,
SRS404486,SRR822340,SRR822340_1.fastq.gz,SRR822340_2.fastq.gz,
SRS404486,SRR797762,SRR797762_1.fastq.gz,SRR797762_2.fastq.gz,
SRS404488,SRR798990,SRR798990_1.fastq.gz,SRR798990_2.fastq.gz,
SRS404488,SRR798765,SRR798765_1.fastq.gz,SRR798765_2.fastq.gz,
SRS404488,SRR797755,SRR797755_1.fastq.gz,SRR797755_2.fastq.gz,
SRS404489,SRR799094,SRR799094_1.fastq.gz,SRR799094_2.fastq.gz,
SRS404489,SRR798711,SRR798711_1.fastq.gz,SRR798711_2.fastq.gz,
SRS404489,SRR797764,SRR797764_1.fastq.gz,SRR797764_2.fastq.gz,
SRS404490,SRR799025,SRR799025_1.fastq.gz,SRR799025_2.fastq.gz,
SRS404490,SRR799044,SRR799044_1.fastq.gz,SRR799044_2.fastq.gz,
SRS404490,SRR797765,SRR797765_1.fastq.gz,SRR797765_2.fastq.gz,
SRS404491,SRR799011,SRR799011_1.fastq.gz,SRR799011_2.fastq.gz,
SRS404491,SRR798152,SRR798152_1.fastq.gz,SRR798152_2.fastq.gz,
SRS404491,SRR797766,SRR797766_1.fastq.gz,SRR797766_2.fastq.gz,
SRS404492,SRR825356,SRR825356_1.fastq.gz,SRR825356_2.fastq.gz,
SRS404492,SRR798804,SRR798804_1.fastq.gz,SRR798804_2.fastq.gz,
SRS404492,SRR797767,SRR797767_1.fastq.gz,SRR797767_2.fastq.gz,
SRS404493,SRR798642,SRR798642_1.fastq.gz,SRR798642_2.fastq.gz,
SRS404493,SRR798774,SRR798774_1.fastq.gz,SRR798774_2.fastq.gz,
SRS404493,SRR797768,SRR797768_1.fastq.gz,SRR797768_2.fastq.gz,
SRS404494,SRR797778,SRR797778_1.fastq.gz,SRR797778_2.fastq.gz,
SRS404494,SRR798728,SRR798728_1.fastq.gz,SRR798728_2.fastq.gz,
SRS404494,SRR822387,SRR822387_1.fastq.gz,SRR822387_2.fastq.gz,
