SAMN01932914	Cryptococcus_neoformans var. grubii_AD1-86a	SRS417573
SAMN01932913	Cryptococcus_neoformans var. grubii_AD2-6a	SRS417577
SAMN01932912	Cryptococcus_neoformans var. grubii_Tu416-1	SRS417669
SAMN01932910	Cryptococcus_neoformans var. grubii_Bt136	SRS417612
SAMN01932909	Cryptococcus_neoformans var. grubii_LP-RSA3144	SRS417644
SAMN01932908	Cryptococcus_neoformans var. grubii_C12	SRS417641
SAMN01932907	Cryptococcus_neoformans var. grubii_LP-RSA756	SRS417658
SAMN01932905	Cryptococcus_neoformans var. grubii_Bt154	SRS417624
SAMN01932904	Cryptococcus_neoformans var. grubii_Bt208	SRS417636
SAMN01932903	Cryptococcus_neoformans var. grubii_Bt149	SRS417620
SAMN01932902	Cryptococcus_neoformans var. grubii_Arg1366	SRS417604
SAMN01932901	Cryptococcus_neoformans var. grubii_MW-RSA1607	SRS417651
SAMN01932900	Cryptococcus_neoformans var. grubii_Bt105	SRS417605
SAMN01932899	Cryptococcus_neoformans var. grubii_Tu369-1	SRS417667
SAMN01932898	Cryptococcus_neoformans var. grubii_MW-RSA1186	SRS417650
SAMN01932897	Cryptococcus_neoformans var. grubii_AD2-82a	SRS417578
SAMN01932896	Cryptococcus_neoformans var. grubii_MW-RSA2967	SRS417652
SAMN01932895	Cryptococcus_neoformans var. grubii_LP-RSA6618	SRS417647
SAMN01932894	Cryptococcus_neoformans var. grubii_AD6-55a	SRS417601
SAMN01932893	Cryptococcus_neoformans var. grubii_MW-RSA3321	SRS417654
SAMN01932892	Cryptococcus_neoformans var. grubii_AD1-68a	SRS417572
SAMN01932891	Cryptococcus_neoformans var. grubii_Bt65	SRS417639
SAMN01932890	Cryptococcus_neoformans var. grubii_Bt109	SRS417606
SAMN01932889	Cryptococcus_neoformans var. grubii_Bt128	SRS417609
SAMN01932883	Cryptococcus_neoformans var. grubii_Bt102	SRS404506
SAMN01932882	Cryptococcus_neoformans var. grubii_Bt101	SRS404486
SAMN01932881	Cryptococcus_neoformans var. grubii_Bt100	SRS404517
SAMN01932880	Cryptococcus_neoformans var. grubii_Bt25	SRS404499
SAMN01932879	Cryptococcus_neoformans var. grubii_Bt10	SRS404473
SAMN01932878	Cryptococcus_neoformans var. grubii_Bt24	SRS404800
SAMN01932876	Cryptococcus_neoformans var. grubii_Bt22	SRS404735
SAMN01932875	Cryptococcus_neoformans var. grubii_Bt150	SRS404507
SAMN01932874	Cryptococcus_neoformans var. grubii_29593	SRS404496
